title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
PHANTOM,Ted Bell,Morrow/HarperCollins,The counterspy Alex Hawke chases a scientist obsessed with cyberwarfare.,30,0,9780061859304,hardcover-fiction,2012-05-01
THE BIG CAT NAP,Rita Mae Brown and Sneaky Pie Brown,Bantam,The 20th Mrs. Murphy mystery.,31,0,9780345530448,hardcover-fiction,2012-05-01
PRIVATE GAMES,James Patterson and Mark Sullivan,"Little, Brown",A journalist and a member of the Private investigative firm pursue a murderer who is trying to destroy the London Olympics.,32,0,9780316206822,hardcover-fiction,2012-05-01
HARBOR NOCTURNE,Joseph Wambaugh,Mysterious,,33,0,9780802126108,hardcover-fiction,2012-05-01
THE EXPATS,Chris Pavone,Crown,A burned-out C.I.A. operative encounters personal challenges and political espionage when she moves with her husband to Luxembourg.,34,0,9780307956354,hardcover-fiction,2012-05-01
THE SENSE OF AN ENDING,Julian Barnes,Knopf,An unexpected bequest causes a man in his 60s to question his understanding of the past; winner of the 2011 Man Booker Prize.,35,0,9780307957122,hardcover-fiction,2012-05-01
THE WIND THROUGH THE KEYHOLE,Stephen King,Scribner,"King returns to the Dark Tower universe, his western-fantasy series, as he explores the early days of the gunslinger Roland.",1,1,9781451658903,hardcover-fiction,2012-05-15
THE INNOCENT,David Baldacci,Grand Central,"When something about his latest mission seems wrong, the government assassin Will Robie refuses to kill. Now he’s a target himself. ",2,2,9780446572996,hardcover-fiction,2012-05-15
CALICO JOE,John Grisham,Doubleday,"In the summer of 1973, a fateful baseball play unites Joe Castle, a dazzling rookie; Warren Tracey, a hard-partying and hard-throwing pitcher, and Tracey’s young son, Paul.",3,3,9780385536073,hardcover-fiction,2012-05-15
THE WITNESS,Nora Roberts,Putnam,"A woman hides from the Russian mob in the Ozarks, but her sharp mind and secretive nature attract the attention of the local police chief.",4,2,9780399159121,hardcover-fiction,2012-05-15
CRYSTAL GARDENS,Amanda Quick,Putnam,"In the first book of a new Victorian series, Ladies of Lantern Street, a paranormal investigator is stalked by an assassin; by Jayne Ann Krentz, writing pseudonymously.",5,1,9780399159084,hardcover-fiction,2012-05-15
GUILTY WIVES,James Patterson and David Ellis,"Little, Brown & Company","Four friends in Monte Carlo for a luxurious girls’ vacation find themselves in prison, accused of an unthinkable crime. ",6,5,9780316097567,hardcover-fiction,2012-05-15
THE LOST YEARS,Mary Higgins Clark,Simon & Schuster,"A biblical scholar who made an amazing discovery is murdered, and it falls to his daughter to unravel the mystery behind his death.",7,4,9781451668865,hardcover-fiction,2012-05-15
UNNATURAL ACTS,Stuart Woods,Putnam,The New York lawyer Stone Barrington and his former protégé Herbie Fisher become involved in the family problems of a hedge fund billionaire.,8,2,9780399158865,hardcover-fiction,2012-05-15
THE SHOEMAKER’S WIFE,Adriana Trigiani,Harper/HarperCollins,Childhood sweethearts in turn-of-the-20th-century Italy meet again in America.,9,4,9780061257094,hardcover-fiction,2012-05-15
SACRÉ BLEU,Christopher Moore,Morrow/HarperCollins,Vincent van Gogh’s friends in the 19th-century Parisian art world investigate his suicide.,10,4,9780061779749,hardcover-fiction,2012-05-15
A DANCE WITH DRAGONS,George R. R. Martin,Bantam,"After a colossal battle, the Seven Kingdoms face new threats.",11,39,9780553801477,hardcover-fiction,2012-05-15
THE LIMPOPO ACADEMY OF PRIVATE DETECTION,Alexander McCall Smith,Pantheon,"Precious Ramotswe, Botswana’s premier detective, finds her personal and professional lives becoming entangled; the 13th novel in the No. 1 Ladies’ Detective Agency series.",12,4,9780307378408,hardcover-fiction,2012-05-15
COME HOME,Lisa Scottoline,St. Martin’s,A woman joins with her estranged stepdaughter to investigate the possible murder of her ex-husband. ,13,3,9780312380823,hardcover-fiction,2012-05-15
INTO THE DREAMING,Karen Marie Moning,Delacorte Press,A new edition of the Highland fantasy novella with bonus material.,14,1,9780345535221,hardcover-fiction,2012-05-15
BETRAYAL,Danielle Steel,Delacorte,A Hollywood director discovers the dark side of fame and fortune when she is faced with an act of unimaginable treachery.,15,5,9780385343190,hardcover-fiction,2012-05-15
WHAT DOESN'T KILL YOU,Iris Johansen,St. Martin's,"Catherine Ling, a C.I.A. recruit trained by a master assassin and poisoner, is caught between worlds when her mentor develops a formula that is fatal, virtually untraceable and highly coveted.",16,2,9780312651237,hardcover-fiction,2012-05-15
THE BEGINNER’S GOODBYE,Anne Tyler,Knopf,A middle-aged man mourning his wife’s death is comforted by her unexpected appearances.,17,0,9780307957276,hardcover-fiction,2012-05-15
11/22/63,Stephen King,Scribner,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,18,0,9781451627282,hardcover-fiction,2012-05-15
DEFENDING JACOB,William Landay,Delacorte,An assistant district attorney’s life is shaken when his shy 14-year-old son is accused of murder. ,19,0,9780385344227,hardcover-fiction,2012-05-15
THE PARIS WIFE,Paula McLain,Ballantine,"Hadley Richardson comes into her own as Ernest Hemingway’s long-suffering first wife in this novel, set in Paris.",20,0,9780345521309,hardcover-fiction,2012-05-15
THE LIFEBOAT,Charlotte Rogan,"Reagan Arthur/Little, Brown",A power struggle in the lifeboat carrying survivors of an ocean liner’s mid-Atlantic explosion in 1914.,21,0,9780316185905,hardcover-fiction,2012-05-15
THE COVE,Ron Rash,Ecco/HarperCollins,Intrigue in backwoods North Carolina during World War I.,22,0,9780061804199,hardcover-fiction,2012-05-15
STAY CLOSE,Harlan Coben,Dutton,"A disappearance in Atlantic City brings together three people — a soccer mom, a photographer and a detective — whose lives were once connected. ",23,0,9780525952275,hardcover-fiction,2012-05-15
KILL SHOT,Vince Flynn,Emily Bestler/Atria,"Mitch Rapp, a C.I.A. super-agent hunting down perpetrators of the Pan Am Lockerbie bombing, finds himself caught in a dangerous trap.",24,0,9781416595205,hardcover-fiction,2012-05-15
LONE WOLF,Jodi Picoult,Emily Bestler/Atria,"On an icy winter night, a terrible accident forces a family divided to come together and make a fateful decision.",25,0,9781439102749,hardcover-fiction,2012-05-15
AUNT DIMITY AND THE VILLAGE WITCH,Nancy Atherton,Viking,,26,0,9780670023417,hardcover-fiction,2012-05-15
GYPPED,Carol Higgins Clark,Scribner,P.I. Regan Reilly encounters an old acquaintance who is in trouble.,27,0,9781439170311,hardcover-fiction,2012-05-15
UNHOLY NIGHT,Seth Grahame-Smith,Grand Central,,28,0,9780446563093,hardcover-fiction,2012-05-15
LOVER REBORN,J. R. Ward,Penguin Group,"As war with the Lessening Society rages and a new vampire clan vies for the Blind King’s throne, the heartbroken Tohr struggles between an unforgettable past and a passion-filled future.",29,0,9780451235848,hardcover-fiction,2012-05-15
PRAGUE FATALE,Philip Kerr,Marian Wood/Putnam,,30,0,9780399159022,hardcover-fiction,2012-05-15
THE SENSE OF AN ENDING,Julian Barnes,Knopf,An unexpected bequest causes a man in his 60s to question his understanding of the past; winner of the 2011 Man Booker Prize.,31,0,9780307957122,hardcover-fiction,2012-05-15
BEASTLY THINGS,Donna Leon,Grove/Atlantic,Commissario Guido Brunetti of Venice investigates the death of a man who loved animals.,32,0,9780802120236,hardcover-fiction,2012-05-15
TRUE SISTERS,Sandra Dallas,St. Martin's,,33,0,9781250005021,hardcover-fiction,2012-05-15
DORCHESTER TERRACE,Anne Perry,Ballantine,"Thomas Pitt, now the head of Britain’s Special Branch, tries to avert the murder of an Austrian duke.",34,0,9780345510624,hardcover-fiction,2012-05-15
LETTER FROM A STRANGER,Barbara Taylor Bradford,St. Martin's,,35,0,9780312631680,hardcover-fiction,2012-05-15
DRIFT,Rachel Maddow,Crown,"America’s path to war has become too easy, the MSNBC host argues.",1,5,9780307460981,hardcover-nonfiction,2012-05-15
"LOTS OF CANDLES, PLENTY OF CAKE",Anna Quindlen,Random House Publishing,The journalist and novelist looks back at her experiences and those of her generation. ,2,1,9781400069347,hardcover-nonfiction,2012-05-15
PRAGUE WINTER,Madeleine Albright with Bill Woodward,Harper/HarperCollins,The former secretary of state remembers life in Czechoslovakia. ,3,1,9780062030313,hardcover-nonfiction,2012-05-15
IMAGINE,Jonah Lehrer,Houghton Mifflin Harcourt,An account of the science of creativity argues that it is not a gift but a thought process that can be learned.,4,6,9780547386072,hardcover-nonfiction,2012-05-15
THE PRESIDENTS CLUB,Nancy Gibbs and Michael Duffy,Simon & Schuster,Two journalists examine the relationships between sitting presidents and their predecessors. ,5,2,9781439127704,hardcover-nonfiction,2012-05-15
LET'S PRETEND THIS NEVER HAPPENED,Jenny Lawson,Amy Einhorn/Putnam,A blogger recalls her unusual upbringing. ,6,2,9780399159015,hardcover-nonfiction,2012-05-15
KILLING LINCOLN,Bill O'Reilly and Martin Dugard,Holt,The commentator looks at the heart-stopping events surrounding the assassination of Abraham Lincoln.,7,31,9780805093070,hardcover-nonfiction,2012-05-15
THE POWER OF HABIT,Charles Duhigg,Random House,,8,9,9781400069286,hardcover-nonfiction,2012-05-15
MRS. KENNEDY AND ME,Clint Hill,Gallery Books,Recollections of the Secret Service agent who was assigned to guard Jacqueline Kennedy.,9,4,9781451648447,hardcover-nonfiction,2012-05-15
THE BIG MISS,Hank Haney,Crown Publishing,The golf coach’s memoir describes his six eventful years with Tiger Woods.,10,5,9780307985989,hardcover-nonfiction,2012-05-15
STEVE JOBS,Walter Isaacson,Simon & Schuster,"A biography of the recently deceased entrepreneur, based on 40 interviews with Jobs conducted over two years.",11,27,9781451648539,hardcover-nonfiction,2012-05-15
UNBROKEN,Laura Hillenbrand,Random House,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",12,76,9781400064168,hardcover-nonfiction,2012-05-15
WILD,Cheryl Strayed,Knopf Doubleday Publishing,"An account of the life-changing 1,100-mile solo hike along the Pacific Crest Trail in 1995. Originally published in 2012 and a 2014 movie.",13,6,9780307592736,hardcover-nonfiction,2012-05-15
AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,"A member of the Navy Seals who has the most career sniper kills in United States military history discusses his childhood, his marriage and his battlefield experiences during the Iraq war.",14,17,9780062082350,hardcover-nonfiction,2012-05-15
QUIET,Susan Cain,Crown Publishing,Introverts — approximately one-third of the population — are undervalued in American society.,15,12,9780307352149,hardcover-nonfiction,2012-05-15
TRICKLE DOWN TYRANNY,Michael Savage,HarperCollins Publishers,The radio host denounces President Obama’s domestic and foreign policies as tyranny.,16,0,9780062083975,hardcover-nonfiction,2012-05-15
WHAT MONEY CAN'T BUY,Michael J. Sandel,"Farrar, Straus & Giroux",,17,0,9780374203030,hardcover-nonfiction,2012-05-15
A NATURAL WOMAN,Carole King,Grand Central Publishing,"A memoir by the songwriter, singer and activist, the subject of a newly opened Broadway musical.",18,0,9781455512614,hardcover-nonfiction,2012-05-15
DROPPED NAMES,Frank Langella,HarperCollins Publishers,"A memoir of the actor’s encounters, many sexual, with famous men and women.",19,0,9780062094476,hardcover-nonfiction,2012-05-15
DROP DEAD HEALTHY,A. J. Jacobs,Simon & Schuster,"The author of “The Know-It-All” and “The Year of Living Biblically” samples workouts, diets and gadgets in pursuit of optimal health in every organ.",20,0,9781416599074,hardcover-nonfiction,2012-05-15
"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,21,0,9780374275631,hardcover-nonfiction,2012-05-15
MOB DAUGHTER,Karen Gravano with Lisa Pulitzer,St. Martin's Press,"The daughter of Sammy (the Bull) Gravano, now a star of the reality show ""Mob Wives,"" recalls a Mafia childhood.",22,0,9781250003058,hardcover-nonfiction,2012-05-15
IN THE GARDEN OF BEASTS,Erik Larson,Broadway,"The United States ambassador to Germany, and his daughter, in 1930s Berlin.",23,0,9780307408853,hardcover-nonfiction,2012-05-15
ESCAPE FROM CAMP 14,Blaine Harden,Penguin Group,"A journalist's account of the life of Shin Dong-hyuk, who escaped the North Korean prison camp where he was born and raised.",24,0,9780670023325,hardcover-nonfiction,2012-05-15
I'M AWESOME,Jason Ellis with Mike Tully,HarperCollins Publishers,,25,0,9780062098214,hardcover-nonfiction,2012-05-15
STILL THE BEST HOPE,Dennis Prager,Broadside Books,,26,0,9780061985126,hardcover-nonfiction,2012-05-15
THE RED CIRCLE,Brandon Webb with John David Mann,St. Martin's Press,,27,0,9780312604226,hardcover-nonfiction,2012-05-15
AFTER CAMELOT,J. Randy Taraborrelli,Grand Central Publishing,,28,0,9780446553902,hardcover-nonfiction,2012-05-15
BAD RELIGION,Ross Douthat,Free Press,,29,0,9781439178300,hardcover-nonfiction,2012-05-15
MIDNIGHT IN PEKING,Paul French,Penguin Group,A British and a Chinese detective attempt to find an Englishwoman's murderer on the eve of the Japanese invasion in 1937.,30,0,9780143121008,hardcover-nonfiction,2012-05-15
THE SOCIAL CONQUEST OF EARTH,Edward O. Wilson,Liveright Publishing,,31,0,9780871404138,hardcover-nonfiction,2012-05-15
IMPERFECT,Jim Abbott and Tim Brown,Random House Publishing,"The story of a pitcher born without a right hand who excelled in the Olympics, played briefly in the major leagues and pitched a no-hitter in 1993.",32,0,9780345523259,hardcover-nonfiction,2012-05-15
"NO, THEY CAN'T",John Stossel,Threshold Editions,The Fox News commentator rejects the belief that government can solve our problems.,33,0,9781451640946,hardcover-nonfiction,2012-05-15
THE JEFFERSON LIES,David Barton,Thomas Nelson,,34,0,9781595554598,hardcover-nonfiction,2012-05-15
BRINGING UP BÉBÉ,Pamela Druckerman,Penguin Press,An American mother discovers the principles of French parenting.,35,0,9781594203336,hardcover-nonfiction,2012-05-15
DEADLOCKED,Charlaine Harris,Ace,"The Vampire King of Louisiana is in Bon Temps, where the telepathic waitress Sookie Stackhouse is investigating a murder that has more to do with her than she imagines. ",1,1,9781937007447,hardcover-fiction,2012-05-22
THE WIND THROUGH THE KEYHOLE,Stephen King,Scribner,"King returns to the Dark Tower universe, his western-fantasy series, as he explores the early days of the gunslinger Roland.",2,2,9781451658903,hardcover-fiction,2012-05-22
THE INNOCENT,David Baldacci,Grand Central,"When something about his latest mission seems wrong, the government assassin Will Robie refuses to kill. Now he’s a target himself. ",3,3,9780446572996,hardcover-fiction,2012-05-22
CALICO JOE,John Grisham,Doubleday,"In the summer of 1973, a fateful baseball play unites Joe Castle, a dazzling rookie; Warren Tracey, a hard-partying and hard-throwing pitcher, and Tracey’s young son, Paul.",4,4,9780385536073,hardcover-fiction,2012-05-22
THE WITNESS,Nora Roberts,Putnam,"A woman hides from the Russian mob in the Ozarks, but her sharp mind and secretive nature attract the attention of the local police chief.",5,3,9780399159121,hardcover-fiction,2012-05-22
ROBERT B. PARKER’S LULLABY,Ace Atkins,Putnam,"The Boston P.I. Spenser helps a street-smart girl investigate her mother’s murder; a continuation of the series by Parker, who died in 2010. ",6,1,9780399158032,hardcover-fiction,2012-05-22
GUILTY WIVES,James Patterson and David Ellis,"Little, Brown & Company","Four friends in Monte Carlo for a luxurious girls’ vacation find themselves in prison, accused of an unthinkable crime. ",7,6,9780316097567,hardcover-fiction,2012-05-22
THE LOST YEARS,Mary Higgins Clark,Simon & Schuster,"A biblical scholar who made an amazing discovery is murdered, and it falls to his daughter to unravel the mystery behind his death.",8,5,9781451668865,hardcover-fiction,2012-05-22
UNNATURAL ACTS,Stuart Woods,Putnam,The New York lawyer Stone Barrington and his former protégé Herbie Fisher become involved in the family problems of a hedge fund billionaire.,9,3,9780399158865,hardcover-fiction,2012-05-22
THE SHOEMAKER’S WIFE,Adriana Trigiani,Harper/HarperCollins,Childhood sweethearts in turn-of-the-20th-century Italy meet again in America.,10,5,9780061257094,hardcover-fiction,2012-05-22
A DANCE WITH DRAGONS,George R. R. Martin,Bantam,"After a colossal battle, the Seven Kingdoms face new threats.",11,40,9780553801477,hardcover-fiction,2012-05-22
SACRÉ BLEU,Christopher Moore,Morrow/HarperCollins,Vincent van Gogh’s friends in the 19th-century Parisian art world investigate his suicide.,12,5,9780061779749,hardcover-fiction,2012-05-22
THE REVEREND’S WIFE,Kimberla Lawson Roby,Grand Central,"The Rev. Curtis Black and his wife, Charlotte, are on the brink of divorce.",13,1,9780446572477,hardcover-fiction,2012-05-22
BORN OF SILENCE,Sherrilyn Kenyon,Grand Central,Darling battles the resistance and vows to regain the throne his uncle stole; a League novel.,14,1,9780446573313,hardcover-fiction,2012-05-22
SKINNYDIPPING,Bethenny Frankel with Eve Adamson,Touchstone/Simon & Schuster,An entrepreneur lands a role on a reality show where her loud mouth gets her into trouble with the rest of the cast.,15,1,9781451667370,hardcover-fiction,2012-05-22
THE LIMPOPO ACADEMY OF PRIVATE DETECTION,Alexander McCall Smith,Pantheon,"Precious Ramotswe, Botswana’s premier detective, finds her personal and professional lives becoming entangled; the 13th novel in the No. 1 Ladies’ Detective Agency series.",16,5,9780307378408,hardcover-fiction,2012-05-22
CRYSTAL GARDENS,Amanda Quick,Putnam,"In the first book of a new Victorian series, Ladies of Lantern Street, a paranormal investigator is stalked by an assassin; by Jayne Ann Krentz, writing pseudonymously.",17,0,9780399159084,hardcover-fiction,2012-05-22
COME HOME,Lisa Scottoline,St. Martin’s,A woman joins with her estranged stepdaughter to investigate the possible murder of her ex-husband. ,18,0,9780312380823,hardcover-fiction,2012-05-22
THE LIFEBOAT,Charlotte Rogan,"Reagan Arthur/Little, Brown",A power struggle in the lifeboat carrying survivors of an ocean liner’s mid-Atlantic explosion in 1914.,19,0,9780316185905,hardcover-fiction,2012-05-22
THE PARIS WIFE,Paula McLain,Ballantine,"Hadley Richardson comes into her own as Ernest Hemingway’s long-suffering first wife in this novel, set in Paris.",20,0,9780345521309,hardcover-fiction,2012-05-22
DEFENDING JACOB,William Landay,Delacorte,An assistant district attorney’s life is shaken when his shy 14-year-old son is accused of murder. ,21,0,9780385344227,hardcover-fiction,2012-05-22
11/22/63,Stephen King,Scribner,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,22,0,9781451627282,hardcover-fiction,2012-05-22
THE BEGINNER’S GOODBYE,Anne Tyler,Knopf,A middle-aged man mourning his wife’s death is comforted by her unexpected appearances.,23,0,9780307957276,hardcover-fiction,2012-05-22
BETRAYAL,Danielle Steel,Delacorte,A Hollywood director discovers the dark side of fame and fortune when she is faced with an act of unimaginable treachery.,24,0,9780385343190,hardcover-fiction,2012-05-22
THE PROPOSAL,Mary Balogh,Delacorte,,25,0,9780385343329,hardcover-fiction,2012-05-22
WHAT DOESN'T KILL YOU,Iris Johansen,St. Martin's,"Catherine Ling, a C.I.A. recruit trained by a master assassin and poisoner, is caught between worlds when her mentor develops a formula that is fatal, virtually untraceable and highly coveted.",26,0,9780312651237,hardcover-fiction,2012-05-22
LONE WOLF,Jodi Picoult,Emily Bestler/Atria,"On an icy winter night, a terrible accident forces a family divided to come together and make a fateful decision.",27,0,9781439102749,hardcover-fiction,2012-05-22
THE NEWLYWEDS,Nell Freudenberger,Knopf,,28,0,9780307268846,hardcover-fiction,2012-05-22
INTO THE DREAMING,Karen Marie Moning,Delacorte Press,A new edition of the Highland fantasy novella with bonus material.,29,0,9780345535221,hardcover-fiction,2012-05-22
AUNT DIMITY AND THE VILLAGE WITCH,Nancy Atherton,Viking,,30,0,9780670023417,hardcover-fiction,2012-05-22
THE COVE,Ron Rash,Ecco/HarperCollins,Intrigue in backwoods North Carolina during World War I.,31,0,9780061804199,hardcover-fiction,2012-05-22
THE NIGHT CIRCUS,Erin Morgenstern,Doubleday,"At a magical circus that whirls through major cities at the turn of the 20th century, two young rivals become collaborators as they fall in love.",32,0,9780385534635,hardcover-fiction,2012-05-22
THE BEST OF ME,Nicholas Sparks,Grand Central,"Twenty-five years after their high school romance ended, a man and woman return to their North Carolina town.",33,0,9780446547659,hardcover-fiction,2012-05-22
STAY CLOSE,Harlan Coben,Dutton,"A disappearance in Atlantic City brings together three people — a soccer mom, a photographer and a detective — whose lives were once connected. ",34,0,9780525952275,hardcover-fiction,2012-05-22
A LAND MORE KIND THAN HOME,Wiley Cash,Morrow,An evil pastor dominates this first novel set in Appalachia.,35,0,9780062088147,hardcover-fiction,2012-05-22
THE PASSAGE OF POWER,Robert A. Caro,Knopf Doubleday Publishing,From 1958 through the Kennedy assassination; the fourth volume of “The Years of Lyndon Johnson.”,1,1,9780679405078,hardcover-nonfiction,2012-05-22
MY CROSS TO BEAR,Gregg Allman,Morrow/HarperCollins,The musician’s memoir.,2,1,9780062112033,hardcover-nonfiction,2012-05-22
"LOTS OF CANDLES, PLENTY OF CAKE",Anna Quindlen,Random House Publishing,The journalist and novelist looks back at her experiences and those of her generation. ,3,2,9781400069347,hardcover-nonfiction,2012-05-22
PRAGUE WINTER,Madeleine Albright with Bill Woodward,Harper/HarperCollins,The former secretary of state remembers life in Czechoslovakia. ,4,2,9780062030313,hardcover-nonfiction,2012-05-22
THE POWER OF HABIT,Charles Duhigg,Random House,,5,10,9781400069286,hardcover-nonfiction,2012-05-22
DRIFT,Rachel Maddow,Crown,"America’s path to war has become too easy, the MSNBC host argues.",6,6,9780307460981,hardcover-nonfiction,2012-05-22
IMAGINE,Jonah Lehrer,Houghton Mifflin Harcourt,An account of the science of creativity argues that it is not a gift but a thought process that can be learned.,7,7,9780547386072,hardcover-nonfiction,2012-05-22
THE PRESIDENTS CLUB,Nancy Gibbs and Michael Duffy,Simon & Schuster,Two journalists examine the relationships between sitting presidents and their predecessors. ,8,3,9781439127704,hardcover-nonfiction,2012-05-22
KILLING LINCOLN,Bill O'Reilly and Martin Dugard,Holt,The commentator looks at the heart-stopping events surrounding the assassination of Abraham Lincoln.,9,32,9780805093070,hardcover-nonfiction,2012-05-22
MANHUNT,Peter L. Bergen,Crown Publishing,The 10-year search for Osama bin Laden.,10,1,9780307955579,hardcover-nonfiction,2012-05-22
UNBROKEN,Laura Hillenbrand,Random House,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",11,77,9781400064168,hardcover-nonfiction,2012-05-22
LET'S PRETEND THIS NEVER HAPPENED,Jenny Lawson,Amy Einhorn/Putnam,A blogger recalls her unusual upbringing. ,12,3,9780399159015,hardcover-nonfiction,2012-05-22
MRS. KENNEDY AND ME,Clint Hill,Gallery Books,Recollections of the Secret Service agent who was assigned to guard Jacqueline Kennedy.,13,5,9781451648447,hardcover-nonfiction,2012-05-22
STEVE JOBS,Walter Isaacson,Simon & Schuster,"A biography of the recently deceased entrepreneur, based on 40 interviews with Jobs conducted over two years.",14,28,9781451648539,hardcover-nonfiction,2012-05-22
END THIS DEPRESSION NOW!,Paul Krugman,Norton,The Nobel-winning economist and New York Times columnist argues that government spending is necessary to jump- start the economy.,15,1,9780393088779,hardcover-nonfiction,2012-05-22
THE BIG MISS,Hank Haney,Crown Publishing,The golf coach’s memoir describes his six eventful years with Tiger Woods.,16,6,9780307985989,hardcover-nonfiction,2012-05-22
JENERATION X,Jen Lancaster,Penguin Group,"A humorous account of coming to terms with adulthood, by the author of ""Such a Pretty Fat.""",17,0,9780451233172,hardcover-nonfiction,2012-05-22
HARD MEASURES,Jose A. Rodriguez Jr,Threshold Editions,A retired C.I.A. official claims the agency’s methods saved American lives after 9/11.,18,0,9781451663471,hardcover-nonfiction,2012-05-22
WILD,Cheryl Strayed,Knopf Doubleday Publishing,"An account of the life-changing 1,100-mile solo hike along the Pacific Crest Trail in 1995. Originally published in 2012 and a 2014 movie.",19,0,9780307592736,hardcover-nonfiction,2012-05-22
PRIVATE EMPIRE,Steve Coll,Penguin Group,,20,0,9781594203350,hardcover-nonfiction,2012-05-22
QUIET,Susan Cain,Crown Publishing,Introverts — approximately one-third of the population — are undervalued in American society.,21,0,9780307352149,hardcover-nonfiction,2012-05-22
AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,"A member of the Navy Seals who has the most career sniper kills in United States military history discusses his childhood, his marriage and his battlefield experiences during the Iraq war.",22,0,9780062082350,hardcover-nonfiction,2012-05-22
ESCAPE FROM CAMP 14,Blaine Harden,Penguin Group,"A journalist's account of the life of Shin Dong-hyuk, who escaped the North Korean prison camp where he was born and raised.",23,0,9780670023325,hardcover-nonfiction,2012-05-22
THE TYRANNY OF CLICHES,Jonah Goldberg,Penguin Group,"The founding editor of National Review Online and author of ""Liberal Fascism"" accuses liberals of lazy thinking, deceptiveness and worse.",24,0,9781595230867,hardcover-nonfiction,2012-05-22
BOTH OF US,Ryan O'Neal with Jodee Blanco and Kent Carroll,Crown Publishing,,25,0,9780307954824,hardcover-nonfiction,2012-05-22
A NATURAL WOMAN,Carole King,Grand Central Publishing,"A memoir by the songwriter, singer and activist, the subject of a newly opened Broadway musical.",26,0,9781455512614,hardcover-nonfiction,2012-05-22
RESTAURANT MAN,Joe Bastianich,Penguin Group,,27,0,9780670023523,hardcover-nonfiction,2012-05-22
DO NOT ASK WHAT GOOD WE DO,Robert Draper,Free Press,"An insider’s account of the 112th Congress and how, with the help of its 87 freshmen, it achieved a 9 percent approval rating.",28,0,9781451642087,hardcover-nonfiction,2012-05-22
"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,29,0,9780374275631,hardcover-nonfiction,2012-05-22
RATHER OUTSPOKEN,Dan Rather with Digby Diehl,Grand Central,,30,0,9781455502417,hardcover-nonfiction,2012-05-22
MY TWO MOMS,Zach Wahls,Gotham,,31,0,9781592407132,hardcover-nonfiction,2012-05-22
IT’S EVEN WORSE THAN IT LOOKS,Thomas E. Mann and Norman J. Ornstein,Basic Books,"Two Congressional scholars analyze the reasons for the current political deadlock, including Republican rejection of compromise and structural factors that make it difficult for majorities to act, and offer possible reforms.",32,0,9780465031337,hardcover-nonfiction,2012-05-22
THE QUEEN MOTHER,Colin Campbell,St. Martin's,,33,0,9781250018977,hardcover-nonfiction,2012-05-22
MY EXTRAORDINARY ORDINARY LIFE,Sissy Spacek with Maryanne Vollers,Hyperion,,34,0,9781401324360,hardcover-nonfiction,2012-05-22
WHAT MONEY CAN'T BUY,Michael J. Sandel,"Farrar, Straus & Giroux",,35,0,9780374203030,hardcover-nonfiction,2012-05-22
11TH HOUR,James Patterson and Maxine Paetro,"Little, Brown","When a millionaire is gunned down, Detective Lindsay Boxer and the Women's Murder Club discover that the murder weapon is linked to the deaths of four of San Francisco's most untouchable criminals.",1,1,9780316097499,hardcover-fiction,2012-05-29
DEADLOCKED,Charlaine Harris,Ace,"The Vampire King of Louisiana is in Bon Temps, where the telepathic waitress Sookie Stackhouse is investigating a murder that has more to do with her than she imagines. ",2,2,9781937007447,hardcover-fiction,2012-05-29
BRING UP THE BODIES,Hilary Mantel,John Macrae/Holt,"In this sequel to “Wolf Hall,” Thomas Cromwell conspires against Anne Boleyn, who has failed to give Henry VIII a son; winner of the 2012 Man Booker Prize.",3,1,9780805090031,hardcover-fiction,2012-05-29
THE ROAD TO GRACE,Richard Paul Evans,Simon & Schuster,The continuing story of an ad executive who embarks on a walk from Seattle to Key West.,4,1,9781451628180,hardcover-fiction,2012-05-29
IN ONE PERSON,John Irving,Simon & Schuster,An aspiring writer struggles with his sexuality.,5,1,9781451664126,hardcover-fiction,2012-05-29
THE INNOCENT,David Baldacci,Grand Central,"When something about his latest mission seems wrong, the government assassin Will Robie refuses to kill. Now he’s a target himself. ",6,4,9780446572996,hardcover-fiction,2012-05-29
CALICO JOE,John Grisham,Doubleday,"In the summer of 1973, a fateful baseball play unites Joe Castle, a dazzling rookie; Warren Tracey, a hard-partying and hard-throwing pitcher, and Tracey’s young son, Paul.",7,5,9780385536073,hardcover-fiction,2012-05-29
THE WIND THROUGH THE KEYHOLE,Stephen King,Scribner,"King returns to the Dark Tower universe, his western-fantasy series, as he explores the early days of the gunslinger Roland.",8,3,9781451658903,hardcover-fiction,2012-05-29
