title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
ON THE GRIND,Stephen J. Cannell,St. Martin’s,,26,0,9780312366285,hardcover-fiction,2009-01-27
LUKE SKYWALKER AND THE SHADOWS OF MINDOR,Matthew Stover,Del Rey,,27,0,9780345477446,hardcover-fiction,2009-01-27
KNIT TWO,Kate Jacobs,Putnam,"The members of the Friday Night Knitting Club struggle with the challenges of being mothers, wives, daughters and friends.",28,0,9780399155833,hardcover-fiction,2009-01-27
BONE BY BONE,Carol O'Connell,Putnam,"Twenty years after his brother disappeared in the forest, a man begins receiving pieces of human remains.",29,0,9780399155147,hardcover-fiction,2009-01-27
2666,Roberto Bolaño,"Farrar, Straus & Giroux",,30,0,9780374100148,hardcover-fiction,2009-01-27
JUST ANOTHER JUDGEMENT DAY,Simon R. Green,Ace,,31,0,9780441016747,hardcover-fiction,2009-01-27
YOUR HEART BELONGS TO ME,Dean Koontz,Bantam,A man is stalked by a woman who resembles the donor of the heart he received in a transplant operation.,32,0,9780553807134,hardcover-fiction,2009-01-27
UNACCUSTOMED EARTH,Jhumpa Lahiri,Knopf,Stories of the anxiety and transformation experienced by Bengalis in America.,33,0,9780307265739,hardcover-fiction,2009-01-27
EXTREME MEASURES,Vince Flynn,Atria,Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.,34,0,9780743270427,hardcover-fiction,2009-01-27
PEOPLE OF THE THUNDER,W. Michael Gear and Kathleen O'Neal Gear,Tor,,35,0,9780765314390,hardcover-fiction,2009-01-27
OUTLIERS,Malcolm Gladwell,"Little, Brown","Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.",1,8,9780316017923,hardcover-nonfiction,2009-01-27
GUILTY,Ann Coulter,Crown Forum,The columnist argues that liberals victimize everyone else by pretending to be victims themselves.,2,1,9780307353467,hardcover-nonfiction,2009-01-27
DEWEY,Vicki Myron with Bret Witter,"Little, Brown",The tale of a book-drop mascot. (Ages 4 to 8),3,17,9780446407410,hardcover-nonfiction,2009-01-27
AMERICAN LION,Jon Meacham,Random House,"Andrew Jackson, the seventh president, in the White House, by the editor of Newsweek.",4,9,9781400063253,hardcover-nonfiction,2009-01-27
TOO FAT TO FISH,Artie Lange with Anthony Bozza,Spiegel & Grau,"Humorous memories from the comedian, a member of the cast of “The Howard Stern Show.”",5,9,9780385526562,hardcover-nonfiction,2009-01-27
WISHFUL DRINKING,Carrie Fisher,Simon & Schuster,A memoir based on Fisher’s one-woman autobiographical show. Originally published in 2008.,6,5,9781439102251,hardcover-nonfiction,2009-01-27
"HOT, FLAT, AND CROWDED",Thomas L. Friedman,"Farrar, Straus & Giroux","How a green revolution can renew America, by the New York Times columnist.",7,18,9780374166854,hardcover-nonfiction,2009-01-27
WHY WE SUCK,Denis Leary,Viking,"Sardonic essays from the actor and comedian, currently the co-creator and star of the TV series “Rescue Me.”",8,8,9780670031603,hardcover-nonfiction,2009-01-27
MULTIPLE BLESSINGS,"Jon Gosselin, Kate Gosselin and Beth Carson",Zondervan,A couple has sextuplets.,9,12,9780310289029,hardcover-nonfiction,2009-01-27
A BOLD FRESH PIECE OF HUMANITY,Bill O’Reilly,Broadway,The Fox News commentator on his upbringing and career.,10,16,9780767928823,hardcover-nonfiction,2009-01-27
THE RETURN OF DEPRESSION ECONOMICS AND THE CRISIS OF 2008,Paul Krugman,Norton,"The origins of the current financial crisis and how it can be contained, by the Nobel Prize-winning economist.",11,2,9780393071016,hardcover-nonfiction,2009-01-27
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,12,26,9781416954125,hardcover-nonfiction,2009-01-27
